File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\lzip-1.15\arg_parser.cc,"Arg_parser::parse_long_option( const char * const opt, const char * const arg, const Option options[], int & argind )",65,56,36,19,8,5,1,28,
F:\benchmark\lzip-1.15\arg_parser.cc,"Arg_parser::parse_short_option( const char * const opt, const char * const arg, const Option options[], int & argind )",37,32,19,11,5,2,0,6,
F:\benchmark\lzip-1.15\arg_parser.cc,"Arg_parser::Arg_parser( const int argc, const char * const argv[], const Option options[], const bool in_order )",36,33,21,9,3,4,0,12,
F:\benchmark\lzip-1.15\arg_parser.cc,"Arg_parser::Arg_parser( const char * const opt, const char * const arg, const Option options[] )",13,12,8,4,1,2,0,5,
F:\benchmark\lzip-1.15\decoder.cc,Pretty_print::operator()( const char * const msg ) const,13,13,8,5,0,0,0,0,
F:\benchmark\lzip-1.15\decoder.cc,"readblock( const int fd, uint8_t * const buf, const int size )",12,12,10,3,0,1,0,1,
F:\benchmark\lzip-1.15\decoder.cc,"writeblock( const int fd, const uint8_t * const buf, const int size )",11,11,9,3,0,0,0,0,
F:\benchmark\lzip-1.15\decoder.cc,Range_decoder::read_block(),10,10,8,3,0,0,0,0,
F:\benchmark\lzip-1.15\decoder.cc,LZ_decoder::flush_data(),11,11,7,3,0,0,0,0,
F:\benchmark\lzip-1.15\decoder.cc,LZ_decoder::verify_trailer( const Pretty_print & pp ) const,66,63,34,14,3,0,0,0,
F:\benchmark\lzip-1.15\decoder.cc,LZ_decoder::decode_member( const Pretty_print & pp ),117,116,75,18,1,12,0,32,
F:\benchmark\lzip-1.15\encoder.cc,Matchfinder_base::read_block(),10,10,8,4,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,Matchfinder_base::normalize_pos(),17,17,12,6,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,"Matchfinder_base::Matchfinder_base( const int before, const int dict_size, const int after_size, const int dict_factor, const int match_len_limit, const int num_prev_positions23, const int pos_array_factor, const int ifd )",33,32,26,8,1,1,0,2,
F:\benchmark\lzip-1.15\encoder.cc,Matchfinder_base::reset(),9,9,9,2,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,Matchfinder::get_match_pairs( struct Pair * pairs ),97,90,64,18,7,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,Range_encoder::flush_data(),9,9,6,3,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,"Len_encoder::encode( Range_encoder & renc, int symbol, const int pos_state )",24,24,14,3,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,"LZ_encoder_base::full_flush( const unsigned long long data_position, const State state )",13,13,12,1,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,LZ_encoder::fill_align_prices(),4,4,3,1,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,LZ_encoder::fill_distance_prices(),30,28,17,7,2,0,0,0,
F:\benchmark\lzip-1.15\encoder.cc,"LZ_encoder::sequence_optimizer( const int reps[num_rep_distances], const State state )",326,279,183,61,40,4,7,46,
F:\benchmark\lzip-1.15\encoder.cc,LZ_encoder::encode_member( const unsigned long long member_size ),105,99,66,22,6,5,0,16,
F:\benchmark\lzip-1.15\fast_encoder.cc,Fmatchfinder::longest_match_len( int * const distance ),46,39,26,11,7,0,0,0,
F:\benchmark\lzip-1.15\fast_encoder.cc,Fmatchfinder::longest_match_len( int n ),30,26,17,5,4,1,0,3,
F:\benchmark\lzip-1.15\fast_encoder.cc,FLZ_encoder::encode_member( const unsigned long long member_size ),114,104,73,18,9,2,1,10,
F:\benchmark\lzip-1.15\main.cc,show_help(),37,37,4,0,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,show_version(),6,6,4,0,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,show_header( const File_header & header ),15,14,13,2,1,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"getnum( const char * const ptr, const unsigned long long llimit, const unsigned long long ulimit )",49,48,36,11,1,0,0,0,
F:\benchmark\lzip-1.15\main.cc,get_dict_size( const char * const arg ),7,7,5,3,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,extension_index( const std::string & name ),9,9,5,4,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"open_instream( const char * const name, struct stat * const in_statsp, const Mode program_mode, const int eindex, const bool recompress, const bool to_stdout )",38,38,18,7,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"set_c_outname( const std::string & name, const bool multifile )",4,4,4,1,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"set_d_outname( const std::string & name, const int i )",15,15,9,3,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,open_outstream( const bool force ),15,14,8,4,1,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"check_tty( const int infd, const Mode program_mode )",13,13,8,5,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,cleanup_and_fail( const int retval ),12,12,7,4,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,close_and_set_permissions( const struct stat * const in_statsp ),21,20,13,6,0,0,1,13,
F:\benchmark\lzip-1.15\main.cc,next_filename(),9,9,6,4,0,1,0,1,
F:\benchmark\lzip-1.15\main.cc,"compress( const unsigned long long member_size, const unsigned long long volume_size, const Lzma_options & encoder_options, const int infd, const Pretty_print & pp, const struct stat * const in_statsp )",67,63,36,13,4,2,0,6,
F:\benchmark\lzip-1.15\main.cc,"fcompress( const unsigned long long member_size, const unsigned long long volume_size, const int infd, const Pretty_print & pp, const struct stat * const in_statsp )",62,59,35,13,3,2,0,6,
F:\benchmark\lzip-1.15\main.cc,xdigit( const int value ),4,4,4,3,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"show_trailing_garbage( const uint8_t * const data, const int size, const Pretty_print & pp, const bool all )",23,23,16,6,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"decompress( const int infd, const Pretty_print & pp, const bool testing )",72,69,39,17,3,1,0,3,
F:\benchmark\lzip-1.15\main.cc,signal_handler( int ),3,3,3,0,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,set_signals(),4,4,4,0,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"show_error( const char * const msg, const int errcode, const bool help )",14,14,7,4,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,internal_error( const char * const msg ),4,4,3,1,0,0,0,0,
F:\benchmark\lzip-1.15\main.cc,"show_progress( const unsigned long long partial_size, const Matchfinder_base * const m, const Pretty_print * const p, const struct stat * const in_statsp )",21,20,14,3,1,3,0,9,
F:\benchmark\lzip-1.15\main.cc,"main( const int argc, const char * const argv[] )",219,204,152,34,13,14,2,39,
F:\benchmark\lzip-1.15\encoder.h,get_slot( const uint32_t dis ),5,5,5,4,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.h,price0( const Bit_model bm ),1,1,1,0,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.h,price1( const Bit_model bm ),1,1,1,0,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.h,"price_bit( const Bit_model bm, const int bit )",1,1,1,0,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.h,"price_symbol( const Bit_model bm[], int symbol, const int num_bits )",10,10,8,2,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.h,"price_symbol_reversed( const Bit_model bm[], int symbol, const int num_bits )",11,11,9,2,0,0,0,0,
F:\benchmark\lzip-1.15\encoder.h,"price_matched( const Bit_model bm[], unsigned symbol, unsigned match_byte )",15,14,13,2,1,1,0,8,
F:\benchmark\lzip-1.15\lzip.h,get_len_state( const int len ),1,1,1,0,0,0,0,0,
F:\benchmark\lzip-1.15\lzip.h,get_lit_state( const uint8_t prev_byte ),1,1,1,0,0,0,0,0,
F:\benchmark\lzip-1.15\lzip.h,real_bits( unsigned value ),4,4,4,2,0,0,0,0,
